ticker	lastOpen	lastClose	Index	Market Cap	Income	Sales	Book/sh	Cash/sh	Dividend	Dividend %	Employees	Optionable	Shortable	Recom	P/E	Forward P/E	PEG	P/S	P/B	P/C	P/FCF	Quick Ratio	Current Ratio	Debt/Eq	LT Debt/Eq	SMA20	EPS (ttm)	EPS next Y	EPS next Q	EPS this Y	EPS next 5Y	EPS past 5Y	Sales past 5Y	Sales Q/Q	EPS Q/Q	Earnings	SMA50	Insider Own	Insider Trans	Inst Own	ROA	ROE	ROI	Gross Margin	Oper. Margin	Profit Margin	Payout	Shs Outstand	Shs Float	Short Float	Short Ratio	Target Price	52W Range	52W High	52W Low	RSI (14)	Rel Volume	Avg Volume	Perf Week	Perf Month	Perf Quarter	Perf Half Y	Perf Year	Perf YTD	Beta	ATR	Volatility	Prev Close	Price
UNH	512.31	518.63	DJIA S&P500	482.57B	17.45B	297.55B	77.33	27.39	6.60	1.27%	350000	Yes	Yes	1.80	28.39	20.95	1.94	1.62	6.71	18.94	35.09	-	-	0.65	0.56	5.49%	18.27	24.76	5.20	12.80%	14.62%	20.10%	9.20%	14.20%	3.70%	Jul 15 BMO	5.03%	0.20%	-2.13%	89.60%	8.10%	24.60%	16.50%	-	8.10%	5.90%	31.30%	941.00M	932.93M	0.62%	1.68	564.83	383.12 - 553.29	-6.26%	35.37%	60.92	0.90	3.44M	0.97%	4.33%	-2.47%	5.91%	26.51%	3.28%	0.77	13.98	2.77% 2.77%	514.38	564.83
BYRN	9.33	9.16	-	213.06M	-11.30M	39.50M	1.98	1.11	-	-	151	Yes	Yes	1.50	-	23.49	-	5.39	4.63	8.26	-	3.20	4.60	0.00	0.00	7.05%	-0.48	0.39	0.04	77.70%	-	8.90%	207.20%	-13.40%	-347.80%	Jul 07 BMO	19.70%	3.90%	2.35%	31.70%	-16.20%	-18.70%	-4.40%	54.00%	-27.60%	-28.50%	-	23.10M	19.27M	7.38%	6.35	17.81	5.89 - 30.55	-70.02%	55.52%	61.93	0.79	224.16K	6.64%	1.55%	5.17%	-26.66%	-57.04%	-31.39%	1.05	0.56	6.32% 6.98%	9.30	17.81
DHIL	176.3	176.22	-	560.38M	69.60M	185.40M	57.32	18.49	6.00	3.40%	128	No	Yes	-	8.07	-	-	3.02	3.07	9.53	-	-	-	0.00	0.00	1.24%	21.84	-	-	94.00%	-	11.60%	6.00%	8.50%	-34.00%	Apr 26 AMC	0.53%	2.20%	-0.33%	65.60%	24.20%	34.60%	27.20%	98.10%	44.20%	37.50%	20.60%	3.19M	3.06M	1.65%	5.22	-	146.85 - 215.54	-18.24%	20.00%	51.21	0.58	9.64K	1.49%	-5.72%	-3.84%	-8.27%	17.36%	-9.27%	1.00	4.43	2.16% 2.14%	176.80	-
SCCO	51.13	51.14	-	39.61B	3.42B	11.17B	10.56	4.20	5.00	9.78%	14700	Yes	Yes	3.40	11.57	14.64	-	3.55	4.84	12.17	58.04	2.70	3.30	0.80	0.77	-5.35%	4.42	3.49	1.14	116.30%	-12.35%	34.40%	15.20%	9.10%	2.70%	-	-11.78%	0.10%	-31.29%	7.30%	19.00%	42.30%	25.60%	65.10%	55.40%	30.60%	81.40%	773.10M	85.22M	5.82%	3.47	56.44	46.50 - 79.32	-35.52%	9.98%	39.36	1.15	1.43M	2.67%	-21.19%	-29.84%	-18.35%	-18.68%	-17.13%	1.19	2.11	3.36% 3.27%	51.24	56.44
AOSL	32.58	34.69	-	895.35M	457.60M	760.90M	30.82	12.52	-	-	3939	Yes	Yes	3.30	2.14	6.93	0.13	1.18	1.13	2.77	4.16	1.90	2.60	0.08	0.07	1.14%	16.21	5.00	0.86	902.50%	17.00%	78.90%	14.40%	20.10%	91.70%	May 05 AMC	-9.57%	18.40%	-1.76%	60.60%	43.30%	76.40%	11.20%	34.90%	14.00%	60.10%	0.00%	26.83M	21.82M	8.36%	2.83	50.67	23.66 - 69.99	-50.44%	46.62%	47.97	0.57	643.92K	4.05%	-19.08%	-25.30%	-36.15%	22.84%	-42.72%	2.48	2.22	7.35% 5.74%	33.08	50.67
LX	2.23	2.23	-	418.59M	253.80M	1.51B	6.55	1.83	-	-	3896	Yes	Yes	1.90	1.82	0.25	0.77	0.28	0.34	1.22	-	1.80	1.80	0.96	0.45	5.54%	1.23	8.83	0.43	288.70%	2.36%	59.30%	21.30%	-41.80%	-87.80%	May 31 BMO	0.11%	4.17%	0.00%	27.50%	8.20%	22.00%	17.00%	47.70%	21.00%	16.80%	0.00%	185.03M	39.26M	1.14%	0.26	4.78	1.67 - 10.74	-79.24%	33.53%	53.42	0.20	1.73M	0.00%	14.36%	-16.17%	-35.17%	-75.92%	-42.23%	0.61	0.12	4.10% 5.02%	2.27	4.78
NCR	30.79	30.67	-	4.22B	18.00M	7.48B	9.75	2.99	-	-	38000	Yes	Yes	1.80	303.66	8.54	75.92	0.56	3.15	10.25	5.14	0.80	1.10	4.23	4.17	-2.25%	0.10	3.59	0.61	296.90%	4.00%	-17.10%	1.80%	20.90%	-241.30%	Apr 26 AMC	-6.37%	1.10%	-1.39%	93.60%	0.10%	1.40%	3.60%	25.30%	4.70%	0.20%	0.00%	135.70M	131.55M	8.54%	4.91	43.00	28.00 - 47.27	-35.12%	9.54%	44.16	0.46	2.29M	-1.41%	-11.18%	-19.27%	-27.20%	-34.10%	-23.71%	1.57	1.58	4.85% 5.32%	30.92	43.00
SILV	5.74	5.67	-	822.99M	-	-	1.88	-	-	-	838	Yes	Yes	-	-	7.18	-	-	3.02	-	-	-	-	-	-	-15.04%	-0.23	0.79	-0.05	18.80%	-	-	-	-	-	-	-19.06%	3.07%	0.00%	52.62%	-	-	-	-	-	-	-	145.15M	140.07M	2.95%	4.87	-	5.48 - 10.13	-44.03%	3.47%	34.73	0.56	848.29K	-7.20%	-25.10%	-35.93%	-22.86%	-30.68%	-28.32%	-	0.43	7.17% 6.48%	5.70	-
GNS	6.46	6	-	139.02M	-4.70M	12.80M	-	0.08	-	-	241	No	Yes	-	-	-	-	10.86	-	77.23	-	0.90	0.90	0.86	0.47	-24.00%	-0.22	-	-	-49.80%	-	-	-	40.00%	-	-	-15.13%	49.97%	0.00%	-	-	-	-60.30%	21.60%	-32.50%	-36.50%	-	23.17M	10.49M	0.10%	0.02	-	5.07 - 36.75	-83.67%	18.34%	33.95	0.58	652.99K	1.69%	-29.16%	-	-	-	-80.33%	-	0.89	10.17% 13.00%	6.47	-
IPG	28.22	28.18	S&P 500	10.98B	1.02B	10.55B	8.84	6.17	1.16	4.12%	55600	Yes	Yes	2.40	11.02	10.31	1.97	1.04	3.19	4.57	10.39	1.00	1.00	0.85	0.83	1.07%	2.56	2.73	0.59	167.80%	5.60%	10.00%	2.50%	13.80%	72.80%	Apr 28 BMO	-7.32%	0.30%	-7.67%	-	5.60%	30.80%	16.80%	17.50%	13.50%	9.70%	42.40%	394.50M	391.70M	3.55%	3.95	34.97	26.36 - 39.98	-29.51%	6.90%	45.76	0.97	3.52M	2.36%	-10.85%	-18.22%	-24.33%	-11.74%	-24.75%	1.04	0.87	2.86% 2.83%	27.89	34.97
SNRHU	9.85	9.88	-	-	-	-	-0.70	-	-	-	-	No	Yes	-	-	-	-	-	-	-	-	-	-	-	-	0.24%	-	-	-	-	-	-	-	-	-	-	-0.17%	-	-	5.65%	-	-	-	-	-	-	-	-	41.40M	0.01%	0.70	-	9.84 - 10.18	-2.95%	0.41%	52.06	0.02	8.43K	0.30%	0.25%	-0.60%	-1.20%	-10.67%	-1.20%	-	0.02	0.02% 0.02%	9.85	-
ENTA	51.08	52.76	-	1.07B	-112.30M	91.60M	17.45	13.76	-	-	155	Yes	Yes	2.40	-	89.12	-	11.73	3.02	3.83	-	11.10	11.10	0.00	0.00	18.51%	-5.52	0.59	-1.45	-115.90%	-	-40.50%	1.90%	-7.00%	-49.60%	May 09 AMC	9.97%	5.90%	-10.65%	96.80%	-25.90%	-28.80%	-20.20%	-	-	-	-	20.55M	19.45M	8.10%	5.41	69.88	37.59 - 102.00	-48.27%	40.36%	66.64	0.63	291.28K	11.61%	21.32%	-30.63%	-23.96%	21.62%	-29.45%	0.53	2.83	6.42% 6.15%	51.89	69.88
CMPOW	0.67	0.74	-	-	-	246.78M	-	-	-	-	638	No	No	-	-	-	-	-	-	-	-	-	-	-	-	-17.36%	-	-	-	-	-	-	-	3.60%	-13.80%	-	-34.26%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.61 - 2.50	-70.40%	21.29%	41.47	1.07	25.69K	3.18%	-46.76%	-51.63%	-49.32%	-54.32%	-51.63%	-	0.14	6.22% 15.18%	0.69	-
AAQC	9.77	9.77	-	390.80M	-	-	-	-	-	-	-	No	Yes	-	-	-	-	-	-	-	-	-	-	-	-	-0.02%	-	-	-	-	-	-	-	-	-	-	0.02%	-	-	-	-	-	-	-	-	-	-	40.00M	-	-	0.52	-	9.60 - 9.92	-1.51%	1.78%	50.30	0.04	40.51K	0.10%	0.10%	0.31%	0.72%	0.51%	0.51%	-	0.02	0.04% 0.12%	9.77	-
PHX	2.93	2.89	-	100.69M	-2.50M	52.10M	2.47	0.05	0.08	2.77%	20	Yes	Yes	1.50	-	4.07	-	1.93	1.17	59.23	7.69	0.70	0.70	0.00	0.28	-17.48%	-0.09	0.71	0.11	83.00%	-	17.10%	-0.50%	77.40%	-430.50%	May 09 AMC	-17.99%	15.20%	3.02%	41.30%	-2.10%	-3.00%	11.00%	86.60%	42.80%	-4.70%	-	34.29M	29.61M	1.63%	1.03	5.45	2.07 - 4.98	-41.97%	39.61%	39.64	0.42	469.34K	-4.93%	-34.02%	-0.69%	29.02%	-11.89%	33.18%	0.67	0.28	7.84% 8.63%	2.86	5.45
SHQA	9.84	9.84	-	272.27M	10.00M	-	7.50	0.02	-	-	-	No	Yes	-	27.18	-	-	-	1.31	544.55	-	1.00	1.00	0.00	0.00	0.00%	0.36	-	-	-	-	-	-	-	-	-	0.09%	-	-	89.40%	6.00%	6.50%	-	-	-	-	0.00%	27.71M	22.16M	0.02%	0.08	-	9.62 - 10.35	-4.93%	2.29%	51.03	0.02	43.80K	0.10%	0.15%	0.82%	1.30%	-	1.13%	-	0.09	0.06% 1.33%	9.87	-
HEI	133.88	133.34	-	16.13B	334.90M	2.01B	17.53	0.97	0.18	0.13%	5600	Yes	Yes	2.40	54.92	44.21	4.36	8.03	7.61	137.55	45.60	1.70	3.40	0.11	0.11	-0.11%	2.43	3.02	0.66	-3.50%	12.60%	13.50%	6.30%	15.40%	20.20%	May 23 AMC	-2.68%	2.00%	-3.01%	71.50%	9.50%	14.70%	13.40%	39.30%	21.80%	16.70%	7.30%	135.89M	115.72M	1.89%	6.87	156.54	122.94 - 159.29	-16.29%	8.46%	47.51	0.51	317.75K	1.69%	-11.81%	-12.84%	-8.66%	-4.42%	-7.54%	1.11	3.47	2.23% 2.44%	133.89	156.54
BITE	9.8	9.8	-	251.27M	-0.90M	-	7.79	0.00	-	-	-	No	Yes	-	-	-	-	-	1.26	-	-	0.50	0.50	0.00	0.00	0.07%	-0.04	-	-	-	-	-	-	-	-66.30%	-	0.07%	21.53%	0.00%	66.20%	-0.40%	-0.40%	-	-	-	-	-	25.64M	20.12M	0.06%	0.32	-	9.60 - 9.90	-1.01%	2.08%	53.55	0.00	36.25K	0.00%	0.31%	0.00%	0.51%	1.77%	0.82%	-	0.02	0.06% 0.13%	9.80	-
LCNB	15.02	15.14	-	171.54M	20.20M	60.80M	17.50	2.85	0.80	5.28%	307	Yes	Yes	2.00	9.27	8.32	6.62	2.82	0.87	5.31	24.51	-	-	0.00	0.00	-0.73%	1.63	1.82	0.40	7.00%	1.40%	5.80%	6.90%	-2.60%	-6.70%	-	-3.83%	4.90%	1.70%	36.10%	1.10%	8.70%	22.10%	-	93.90%	33.20%	47.80%	11.82M	9.86M	0.38%	1.71	21.00	14.75 - 20.69	-26.82%	2.64%	45.33	0.59	21.96K	1.27%	-5.37%	-11.72%	-24.71%	-5.43%	-22.48%	0.77	0.34	1.84% 2.22%	15.04	21.00
BTAI	16.53	16.21	-	466.20M	-112.00M	-	6.93	6.97	-	-	89	Yes	Yes	1.80	-	-	-	-	2.34	2.33	-	12.90	13.00	0.00	0.00	34.94%	-4.12	-4.74	-1.28	-7.00%	-	-	-	-	-4.60%	May 09 BMO	32.83%	32.27%	0.00%	52.60%	-45.10%	-48.30%	-	-	-	-	-	27.98M	18.95M	20.94%	5.87	51.36	8.80 - 36.49	-55.58%	84.31%	69.04	0.58	676.79K	22.80%	40.71%	-18.46%	-19.67%	-39.40%	-20.27%	1.20	1.10	8.94% 8.69%	16.66	51.36
QCOM	132.52	136.01	S&P 500	150.53B	11.16B	39.27B	11.85	10.43	3.00	2.21%	45000	Yes	Yes	2.00	13.92	10.36	0.97	3.83	11.48	13.04	36.44	1.30	1.60	1.18	0.91	6.26%	9.77	13.13	2.88	74.00%	14.34%	15.60%	7.30%	40.70%	68.10%	Jul 27 AMC	1.60%	0.12%	-0.66%	75.50%	26.70%	104.30%	33.20%	58.50%	32.60%	28.40%	27.50%	1.12B	1.12B	1.71%	1.85	198.80	118.22 - 193.58	-29.74%	15.04%	56.55	0.81	10.38M	6.47%	-4.14%	-2.35%	-27.07%	-1.65%	-25.62%	1.23	5.44	3.64% 3.70%	134.40	198.80
MSI	217.48	214.65	S&P 500	36.71B	1.27B	8.29B	-1.88	5.13	3.16	1.47%	18700	Yes	Yes	1.90	29.40	19.44	2.61	4.43	-	41.81	41.76	0.90	1.10	-	-	2.24%	7.30	11.04	2.09	31.60%	11.28%	17.30%	6.20%	6.70%	9.50%	May 12 AMC	1.04%	0.20%	-61.13%	88.80%	10.90%	-519.10%	23.80%	48.70%	19.20%	15.30%	38.90%	168.00M	166.32M	0.90%	1.73	270.40	195.18 - 273.65	-21.56%	9.98%	52.19	0.67	870.46K	2.41%	-3.30%	-10.22%	-17.16%	-3.45%	-21.00%	0.90	5.46	2.21% 2.30%	219.41	270.40
LMAO	10.17	10.18	-	132.63M	1.80M	-	7.54	0.01	-	-	-	No	Yes	-	75.40	-	-	-	1.35	1326.26	-	14.00	14.00	0.00	0.00	0.26%	0.14	-	-	-	-	-	-	-	46.90%	-	0.35%	-	-	96.20%	1.70%	1.80%	-	-	-	-	0.00%	13.04M	10.45M	0.03%	0.25	-	9.81 - 12.16	-16.30%	3.76%	65.50	0.17	10.82K	0.18%	0.38%	1.08%	1.99%	3.02%	1.38%	-	0.01	0.04% 0.02%	10.19	-
NOMD	19.72	19.16	-	3.40B	190.70M	2.67B	13.72	-	-	-	8002	Yes	Yes	1.80	17.77	10.32	1.73	1.27	1.40	-	17.96	0.60	1.00	0.95	0.94	-2.44%	1.08	1.86	0.47	-10.70%	10.27%	38.70%	6.20%	3.60%	15.80%	May 11 BMO	-3.09%	15.72%	0.00%	90.20%	3.10%	8.10%	5.80%	28.00%	11.90%	7.10%	0.00%	174.40M	145.44M	1.09%	1.85	26.54	17.30 - 28.92	-33.75%	10.75%	40.84	0.47	857.33K	-4.15%	-7.35%	-15.07%	-25.97%	-32.20%	-24.54%	0.70	0.49	2.40% 2.39%	19.72	26.54
TOIIW	0.83	0.62	-	-	-	194.64M	-	-	-	-	553	No	No	-	-	-	-	-	-	-	-	-	-	-	-	4.30%	-602.09	-	-	-	-	-	-	5.40%	214.70%	-	-31.66%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.44 - 1.99	-68.84%	39.77%	45.35	1.60	11.93K	24.00%	-7.46%	-21.26%	-53.38%	-53.03%	-10.17%	-	0.24	38.07% 43.59%	0.64	-
RGP	20.94	21.13	-	696.87M	69.90M	760.30M	10.91	2.49	0.56	2.65%	3753	Yes	Yes	3.50	10.08	10.89	1.26	0.92	1.94	8.48	139.37	2.40	2.40	0.15	0.15	9.20%	2.10	1.94	0.44	-11.70%	8.00%	-0.90%	1.00%	30.70%	2714.60%	Apr 06 AMC	16.38%	1.60%	-18.03%	83.60%	13.10%	20.20%	6.80%	38.80%	9.30%	9.20%	26.30%	32.74M	31.35M	1.74%	2.30	22.33	13.28 - 21.61	-2.24%	59.11%	65.05	1.22	236.48K	3.73%	9.99%	25.03%	16.10%	54.80%	18.44%	0.79	0.85	3.69% 4.38%	21.05	22.33
RQI	14.08	14.08	-	1.89B	 Realty Fund, Inc. Stock Quote	61.79M	15.93	-	0.96	6.82%	-	No	Yes	-	2.80	-	-	30.59	0.88	-	-	-	-	-	-	3.74%	5.02	-	-	-	-	-	-	-7.50%	58.40%	-	0.08%	-	-	15.54%	-	-	-	-	-	-	-	134.24M	-	-	0.01	-	12.65 - 18.45	-23.69%	11.30%	53.66	0.62	342.84K	3.61%	-6.69%	-15.54%	-17.81%	-11.72%	-22.72%	-	0.41	2.44% 2.80%	14.20	-
AAL	13.96	13.97	S&P 500	9.16B	-2379.00M	34.77B	-13.76	19.04	-	-	123400	Yes	Yes	2.80	-	6.82	-	0.26	-	0.73	-	0.70	0.80	-	-	2.80%	-3.67	2.05	0.71	83.10%	16.09%	-21.70%	-5.70%	122.00%	-27.80%	Jul 21 BMO	-11.83%	1.20%	0.00%	56.10%	-3.50%	30.30%	-1.60%	57.90%	-4.20%	-6.80%	-	649.50M	641.79M	14.01%	2.47	18.77	11.93 - 22.35	-37.49%	17.10%	47.07	0.77	36.42M	10.17%	-16.30%	-19.62%	-25.21%	-31.35%	-22.22%	1.56	0.80	5.44% 5.93%	14.10	18.77
TBI	18.39	18.4	-	608.12M	64.70M	2.27B	13.78	1.11	-	-	6400	Yes	Yes	2.00	10.09	7.54	1.01	0.27	1.34	16.57	-	1.80	1.80	0.19	0.07	1.25%	1.82	2.44	0.53	143.00%	10.00%	46.40%	-4.60%	20.20%	51.80%	Apr 25 AMC	-14.17%	2.50%	1.27%	-	6.50%	13.70%	9.60%	26.00%	3.30%	2.90%	0.00%	33.93M	32.37M	3.17%	3.68	30.00	15.77 - 32.91	-44.09%	16.68%	43.73	0.57	278.44K	2.79%	-17.15%	-33.43%	-35.30%	-28.68%	-33.50%	1.52	0.81	3.13% 4.82%	18.35	30.00
BMAQ	9.9	9.9	-	146.62M	-0.80M	-	7.53	0.04	-	-	-	No	Yes	-	-	-	-	-	1.31	244.36	-	2.40	2.40	0.00	0.00	0.08%	-0.05	-	-	-	-	-	-	-	-	-	0.16%	22.03%	0.00%	77.50%	-1.30%	-1.40%	-	-	-	-	-	14.80M	11.54M	0.02%	0.04	-	9.70 - 10.40	-4.81%	2.06%	54.52	0.00	63.86K	0.10%	0.02%	0.51%	0.92%	-	1.64%	-	0.02	0.06% 0.11%	9.90	-
EC	10.37	10.38	-	21.58B	4.60B	24.40B	7.43	1.79	2.26	21.75%	9150	Yes	Yes	2.50	4.64	3.87	-	0.88	1.40	5.81	6.69	1.10	1.40	1.38	1.25	-14.36%	2.24	2.68	0.81	889.00%	-13.00%	60.50%	14.00%	88.70%	113.00%	-	-24.25%	1.00%	0.00%	1.70%	9.10%	31.00%	13.20%	41.10%	34.50%	19.00%	-	2.06B	221.63M	2.91%	3.87	19.08	9.59 - 18.47	-43.79%	8.23%	33.96	0.61	1.67M	-4.42%	-36.11%	-41.24%	-14.87%	-22.29%	-13.61%	1.68	0.67	5.56% 5.10%	10.30	19.08
THO	82.44	82.69	-	4.49B	1.09B	16.08B	62.54	6.06	1.72	2.08%	31000	Yes	Yes	2.60	4.22	8.13	0.72	0.28	1.32	13.65	6.20	0.80	1.70	0.59	0.58	9.18%	19.57	10.17	3.82	194.40%	5.90%	19.30%	21.90%	34.60%	92.10%	Jun 08 BMO	7.67%	1.70%	3.77%	-	14.60%	34.30%	14.50%	17.00%	8.80%	6.80%	8.50%	54.91M	52.11M	17.33%	7.79	85.20	66.26 - 128.87	-35.83%	24.80%	61.03	0.79	1.16M	10.65%	8.47%	4.25%	-20.03%	-23.34%	-20.31%	1.74	3.53	5.15% 4.64%	82.40	85.20
SINT	0.5	0.45	-	11.00M	-9.00M	0.60M	0.58	0.45	-	-	36	No	Yes	2.00	-	-	-	18.34	0.78	1.01	-	4.40	4.50	0.03	0.00	3.29%	-0.36	-0.36	-0.11	64.90%	-	75.60%	-47.50%	0.00%	-7.90%	Apr 13 BMO	-0.14%	4.14%	0.00%	7.10%	-39.10%	-49.30%	-54.90%	26.20%	-	-	-	24.71M	23.69M	0.53%	1.12	1.88	0.36 - 2.04	-77.84%	25.56%	51.82	1.38	112.51K	4.46%	-13.87%	-27.04%	-30.41%	-71.39%	-29.58%	1.84	0.08	31.08% 17.24%	0.44	1.88
VEEE	2.72	2.5	-	18.80M	-2.30M	18.50M	2.25	1.08	-	-	120	No	Yes	-	-	-	-	1.02	1.11	2.32	-	3.00	4.00	0.03	0.03	-8.89%	-0.34	-	-	-213.30%	-	-	-	84.40%	-	-	-20.06%	57.14%	0.00%	16.50%	-13.30%	-18.10%	-3.40%	39.10%	-9.40%	-12.70%	-	7.00M	3.00M	0.77%	2.90	-	2.31 - 7.58	-67.02%	8.23%	38.38	3.37	7.99K	-7.06%	-20.13%	-39.02%	-32.80%	-	-37.66%	-	0.22	5.02% 8.69%	2.69	-
