"Symbol","Description","Universe","Schwab Equity Rating","Sector","Industry","Sub-Industry"
"SCU","Sculptor Capital Management Inc","Domestic","A","Financials","Capital Markets","Asset Management & Custody Banks"
"SEM","Select Medical Holdings Corp","Domestic","A","Health Care","Health Care Providers & Services","Health Care Facilities"
"SFL","SFL Corporation Ltd","Domestic","A","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Storage & Transportation"
"SGRY","Surgery Partners Inc","Domestic","A","Health Care","Health Care Providers & Services","Health Care Facilities"
"SIGA","SIGA Technologies Inc","Domestic","A","Health Care","Pharmaceuticals","Pharmaceuticals"
"SIRI","Sirius XM Holdings Inc","Domestic","A","Communication Services","Media","Cable & Satellite"
"SMBC","Southern Missouri Bancorp Inc","Domestic","A","Financials","Thrifts & Mortgage Finance","Thrifts & Mortgage Finance"
"SMED","Sharps Compliance Corp","Domestic","A","Health Care","Health Care Providers & Services","Health Care Services"
"SPB","Spectrum Brands Holdings Inc","Domestic","A","Consumer Staples","Household Products","Household Products"
"SPNE","SeaSpine Holdings Corp","Domestic","A","Health Care","Health Care Equipment & Supplies","Health Care Equipment"
"SPOK","Spok Holdings Inc","Domestic","A","Communication Services","Wireless Telecommunication Services","Wireless Telecommunication Services"
"SSNC","SS&C Technologies Holdings Inc","Domestic","A","Information Technology","Software","Application Software"
"STAA","STAAR Surgical Co","Domestic","A","Health Care","Health Care Equipment & Supplies","Health Care Supplies"
"STXS","Stereotaxis Inc","Domestic","A","Health Care","Health Care Equipment & Supplies","Health Care Equipment"
"SUPN","Supernus Pharmaceuticals Inc","Domestic","A","Health Care","Pharmaceuticals","Pharmaceuticals"
"SYNA","Synaptics Inc","Domestic","A","Information Technology","Semiconductors & Semiconductor Equipment","Semiconductors"
"T","AT&T Inc","Domestic","A","Communication Services","Diversified Telecommunication Services","Integrated Telecommunication Services"
"TDC","Teradata Corp","Domestic","A","Information Technology","Software","Systems Software"
"TG","Tredegar Corp","Domestic","A","Materials","Chemicals","Commodity Chemicals"
"TGNA","Tegna Inc","Domestic","A","Communication Services","Media","Broadcasting"
"TGT","Target Corp","Domestic","A","Consumer Discretionary","Multiline Retail","General Merchandise Stores"
"THC","Tenet Healthcare Corp","Domestic","A","Health Care","Health Care Providers & Services","Health Care Facilities"
"TMO","Thermo Fisher Scientific Inc","Domestic","A","Health Care","Life Sciences Tools & Services","Life Sciences Tools & Services"
"TOWN","Towne Bank","Domestic","A","Financials","Banks","Regional Banks"
"TRMB","Trimble Inc","Domestic","A","Information Technology","Electronic Equipment, Instruments & Components","Electronic Equipment & Instruments"
"TSCO","Tractor Supply Co","Domestic","A","Consumer Discretionary","Specialty Retail","Specialty Stores"
"TVTY","Tivity Health Inc","Domestic","A","Health Care","Health Care Providers & Services","Health Care Services"
"TXN","Texas Instruments Inc","Domestic","A","Information Technology","Semiconductors & Semiconductor Equipment","Semiconductors"
"UGI","UGI Corp","Domestic","A","Utilities","Gas Utilities","Gas Utilities"
"UNH","UnitedHealth Group Inc","Domestic","A","Health Care","Health Care Providers & Services","Managed Health Care"
"UNTY","Unity Bancorp Inc","Domestic","A","Financials","Banks","Regional Banks"
"USPH","U.S. Physical Therapy Inc","Domestic","A","Health Care","Health Care Providers & Services","Health Care Facilities"
"UTMD","Utah Medical Products Inc","Domestic","A","Health Care","Health Care Equipment & Supplies","Health Care Supplies"
"UVSP","Univest Financial Corp","Domestic","A","Financials","Banks","Regional Banks"
"VCEL","Vericel Corp","Domestic","A","Health Care","Biotechnology","Biotechnology"
"VCRA","Vocera Communications Inc","Domestic","A","Health Care","Health Care Technology","Health Care Technology"
"VCYT","Veracyte Inc","Domestic","A","Health Care","Biotechnology","Biotechnology"
"VNDA","Vanda Pharmaceuticals Inc","Domestic","A","Health Care","Biotechnology","Biotechnology"
"VRSN","Verisign Inc","Domestic","A","Information Technology","IT Services","Internet Services & Infrastructure"
"VRTV","Veritiv Corp","Domestic","A","Industrials","Trading Companies & Distributors","Trading Companies & Distributors"
"WAT","Waters Corp","Domestic","A","Health Care","Life Sciences Tools & Services","Life Sciences Tools & Services"
"WEYS","WEYCO Group Inc","Domestic","A","Consumer Discretionary","Distributors","Distributors"
"WHR","Whirlpool Corp","Domestic","A","Consumer Discretionary","Household Durables","Household Appliances"
"WMB","Williams Companies Inc","Domestic","A","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Storage & Transportation"
"WSM","Williams-Sonoma Inc","Domestic","A","Consumer Discretionary","Specialty Retail","Homefurnishing Retail"
"WU","Western Union Co","Domestic","A","Information Technology","IT Services","Data Processing & Outsourced Services"
"WWW","Wolverine World Wide Inc","Domestic","A","Consumer Discretionary","Textiles, Apparel & Luxury Goods","Footwear"
"XEC","Cimarex Energy Co","Domestic","A","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Exploration & Production"
"XOMA","XOMA Corp","Domestic","A","Health Care","Biotechnology","Biotechnology"
"ZBRA","Zebra Technologies Corp","Domestic","A","Information Technology","Electronic Equipment, Instruments & Components","Electronic Equipment & Instruments"
"ZUMZ","Zumiez Inc","Domestic","A","Consumer Discretionary","Specialty Retail","Apparel Retail"
