"Symbol","Description","Universe","Schwab Equity Rating","Sector","Industry","Sub-Industry"
"ORLY","O'Reilly Automotive Inc","Domestic","A","Consumer Discretionary","Specialty Retail","Automotive Retail"
"OSMT","Osmotica Pharmaceuticals PLC","Domestic","A","Health Care","Pharmaceuticals","Pharmaceuticals"
"OVLY","Oak Valley Bancorp","Domestic","A","Financials","Banks","Regional Banks"
"PACB","Pacific Biosciences of California Inc","Domestic","A","Health Care","Life Sciences Tools & Services","Life Sciences Tools & Services"
"PBH","Prestige Consumer Healthcare Inc","Domestic","A","Health Care","Pharmaceuticals","Pharmaceuticals"
"PCRX","Pacira Biosciences Inc","Domestic","A","Health Care","Pharmaceuticals","Pharmaceuticals"
"PDCO","Patterson Companies Inc","Domestic","A","Health Care","Health Care Providers & Services","Health Care Distributors"
"PFE","Pfizer Inc","Domestic","A","Health Care","Pharmaceuticals","Pharmaceuticals"
"PGC","Peapack-Gladstone Financial Corp","Domestic","A","Financials","Banks","Regional Banks"
"PIPR","Piper Sandler Companies","Domestic","A","Financials","Capital Markets","Investment Banking & Brokerage"
"PJT","PJT Partners Inc","Domestic","A","Financials","Capital Markets","Investment Banking & Brokerage"
"PKBK","Parke Bancorp Inc","Domestic","A","Financials","Banks","Regional Banks"
"PLRX","Pliant Therapeutics Inc","Domestic","A","Health Care","Pharmaceuticals","Pharmaceuticals"
"PM","Philip Morris International Inc","Domestic","A","Consumer Staples","Tobacco","Tobacco"
"PMVP","PMV Pharmaceuticals Inc","Domestic","A","Health Care","Biotechnology","Biotechnology"
"PNTG","Pennant Group Inc","Domestic","A","Health Care","Health Care Providers & Services","Health Care Facilities"
